#####################################################################
# Alchemist log file - simulation started at: 2024-02-25T17:02+0000 #
#####################################################################
#
#
#
# The columns have the following meaning:
# time Accuracy[min] Accuracy[max] Accuracy[mean] Loss[min] Loss[max] Loss[mean] TrainLoss[min] TrainLoss[max] TrainLoss[mean]
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 0.96 0.96 0.96 1.2601245269179344 1.2601245269179344 1.2601245269179344 0.5573684618774181 0.5573684618774181 0.5573684618774181
1.0 0.946 0.9733333333333334 0.95975 1.087774895131588 3.684390664100647 1.892634044867009 0.29479026583066054 0.5740009390682292 0.5182913369577146
2.0 0.9506666666666667 0.9713333333333334 0.95775 1.231807328760624 3.423400565981865 2.8127552596852183 0.24715610747074246 0.29479026583066054 0.26828928611003117
3.0 0.966 0.9826666666666667 0.9710833333333333 0.695375831797719 1.6518250703811646 1.2653314585331827 0.222109465271933 0.2744682084140368 0.25529605197188904
4.0 0.9713333333333334 0.9866666666666667 0.9768333333333333 0.42485406436026096 1.0490763280540705 0.7690495243296027 0.17727874937316906 0.22725933560585448 0.21570274457414357
5.0 0.9753333333333334 0.9866666666666667 0.9795 0.42485406436026096 0.9277367331087589 0.6469794537406415 0.17727874937316906 0.19969811756447114 0.19068089508750746
6.0 0.9773333333333334 0.9886666666666667 0.98175 0.3832310219295323 0.9419064363464713 0.6089692788082175 0.15831701113128172 0.18481471992880688 0.1745100033745254
7.0 0.9753333333333334 0.99 0.98275 0.3668913342989981 0.8755865055136383 0.5711944286013022 0.15529188640168773 0.1763682978420878 0.1645654065661649
8.0 0.976 0.9906666666666667 0.9830833333333333 0.3119915723800659 0.8175882827490568 0.5519243430462666 0.14512435385983555 0.16067421723950007 0.15389247834542705
9.0 0.978 0.9913333333333333 0.9836666666666667 0.2963589944411069 0.7826561001129448 0.5306303174002096 0.1434304118811063 0.15171760401642193 0.14792183392321173
10.0 0.98 0.9893333333333333 0.9836666666666667 0.2992213210090995 0.8347937082871795 0.5270495047734585 0.13116307566992175 0.15156298797289494 0.14231050708459503
11.0 0.98 0.9906666666666667 0.9849166666666667 0.2895965985953808 0.8347937082871795 0.5205644364032196 0.13291824778191222 0.1432237657361414 0.13822414334144242
12.0 0.9806666666666667 0.992 0.9855833333333334 0.27620892762206495 0.8027058006264269 0.49172574598924257 0.12818889162999966 0.13994802935768044 0.13492758777321223
13.0 0.9806666666666667 0.992 0.9859166666666667 0.22594281495548785 0.7915403442457318 0.4861419655790087 0.12602975881483994 0.13835151967951 0.1330332920014277
14.0 0.9806666666666667 0.9926666666666667 0.98625 0.23689967137761414 0.7505014529451728 0.46433234387950506 0.12375464475222302 0.13312620885254123 0.1294678642039917
#####################################################################
# End of data export. Simulation finished at: 2024-02-25T17:02+0000 #
#####################################################################
