#####################################################################
# Alchemist log file - simulation started at: 2024-02-25T17:02+0000 #
#####################################################################
#
#
#
# The columns have the following meaning:
# time Accuracy[min] Accuracy[max] Accuracy[mean] Loss[min] Loss[max] Loss[mean] TrainLoss[min] TrainLoss[max] TrainLoss[mean]
0.0 NaN NaN NaN NaN NaN NaN NaN NaN NaN
0.0 0.7513333333333333 0.7513333333333333 0.7513333333333333 6.0648916363716125 6.0648916363716125 6.0648916363716125 0.9861300343357855 0.9861300343357855 0.9861300343357855
1.0 0.7453333333333333 0.7766666666666666 0.7573333333333333 5.53372448682785 7.629746794700623 6.661436341702938 0.7539915123250749 1.0488929265240827 0.9652791451507559
2.0 0.7413333333333333 0.7986666666666666 0.764 5.64979100227356 7.550857365131378 7.151947394013405 0.689800701700151 0.7539915123250749 0.7280921536663341
3.0 0.772 0.808 0.7935833333333333 5.264868140220642 6.538609623908997 5.921206682920456 0.6459509059962714 0.7312721314405403 0.7061275370218533
4.0 0.778 0.8166666666666667 0.8031666666666667 4.794584393501282 5.264868140220642 5.045934274792671 0.622117252761705 0.6824068108532163 0.6561004241152356
5.0 0.7893333333333333 0.8306666666666667 0.8141666666666667 4.398835748434067 5.002399295568466 4.750050209462643 0.6132176761784488 0.6466667796391993 0.6261255917008708
6.0 0.8073333333333333 0.838 0.8243333333333334 4.100753873586655 4.730993360280991 4.519684534519911 0.5674320356878969 0.6238448026098518 0.5985634555218147
7.0 0.8246666666666667 0.8473333333333334 0.8341666666666667 4.100753873586655 4.5941756665706635 4.363966826349497 0.5590146434379535 0.6020414333097223 0.5798305528691142
8.0 0.828 0.856 0.8416666666666667 3.957552909851074 4.454729110002518 4.22784087061882 0.5506105902490931 0.5847328561937642 0.5659061851367975
9.0 0.828 0.862 0.8461666666666666 3.7839576303958893 4.346345454454422 4.09262877330184 0.5375734609044674 0.5657649238086823 0.5512026603414253
10.0 0.838 0.862 0.849 3.7017110884189606 4.2437350153923035 4.009377896785736 0.5213971407018189 0.5557833795327073 0.5368925199445544
11.0 0.8333333333333334 0.8653333333333333 0.8508333333333333 3.652671068906784 4.270861595869064 3.961671184748411 0.5101730136914799 0.5450056181221994 0.5271556768818603
#####################################################################
# End of data export. Simulation finished at: 2024-02-25T17:02+0000 #
#####################################################################
