time Accuracy[min] Accuracy[max] Accuracy[mean] Loss[min] Loss[max] Loss[mean] TrainLoss[min] TrainLoss[max] TrainLoss[mean] 
0.0 0.9533333333333334 0.9533333333333334 0.9533333333333334 1.4531471654772758 1.4531471654772758 1.4531471654772758 0.6942458397615701 0.6942458397615701 0.6942458397615701
1.0 0.9433333333333334 0.966 0.9523333333333334 1.3327364921569824 3.4981250315904617 2.1486478676088154 0.3534065797862907 0.7530910119186673 0.650729894152545
2.0 0.944 0.97 0.9538333333333333 1.2563034780323505 3.4097840189933777 2.565637764055282 0.3044683869369328 0.35587630054965197 0.32879917396448943
3.0 0.9566666666666667 0.9773333333333334 0.9664166666666667 0.8881700485944748 1.6566466987133026 1.305432931985706 0.2779387038525763 0.33900299713080234 0.3165475233374794
4.0 0.9646666666666667 0.9846666666666667 0.9706666666666667 0.60131068341434 1.2187466099858284 0.9616919120308012 0.22720611136186766 0.2779387038525763 0.26623920390566735
5.0 0.968 0.9846666666666667 0.97475 0.589653991162777 1.1001181527972221 0.8260684560518712 0.22572817144734372 0.2558984262946372 0.23762404321501285
6.0 0.97 0.9846666666666667 0.9766666666666667 0.4967197263613343 1.0396735053509474 0.7593342809705064 0.20316248080305135 0.22784034236195208 0.21815579262722168
7.0 0.9713333333333334 0.9866666666666667 0.9788333333333333 0.43447962775826454 0.9352793507277966 0.6849580715643242 0.19822413158279636 0.21468773361204918 0.2054972622003384
8.0 0.9726666666666667 0.9873333333333333 0.9799166666666667 0.41241231746971607 0.8836653288453817 0.6483929278911091 0.18568128986869448 0.20665911933475098 0.19641668537178855
9.0 0.9726666666666667 0.988 0.9813333333333333 0.39304921310395 0.8765032105147839 0.6277395042707212 0.17115699218125682 0.19635775520294876 0.18542342562991457
10.0 0.9733333333333334 0.9886666666666667 0.98175 0.3746611983515322 0.8344073528423905 0.6109232215676457 0.16878768874630623 0.18378467460812922 0.17580343736793466
11.0 0.9733333333333334 0.99 0.9831666666666666 0.32526262616738677 0.8344073528423905 0.5634921670134645 0.15563750694527498 0.18202656812855922 0.17050528238369364
