Average train loss,Average validation loss,Average validation accuracy
1.0823787426017224,7.874027609825134,0.7626666666666668
0.7657202004715025,5.457696348428726,0.7893333333333333
0.6701325390689696,4.730117529630661,0.8173333333333332
0.6289555898972321,4.477892756462097,0.8253333333333333
0.6048522490751929,4.112553119659424,0.8333333333333333
0.5938099484184447,4.168769657611847,0.8306666666666667
0.5812473623074281,4.195043623447418,0.8453333333333334
0.5533505268817922,3.8828549683094025,0.8733333333333332
0.5512243377825266,3.8889760822057724,0.8600000000000001
0.5397665742166767,3.8563855290412903,0.8506666666666669
0.5225311382260407,3.3367870151996613,0.8666666666666669
0.5195855126460569,3.2082024663686752,0.8666666666666669
0.5140348977789593,3.5909693241119385,0.8653333333333332
0.5139686672334696,3.52915096282959,0.8826666666666669
0.5019295612289959,3.495547518134117,0.8746666666666665
